eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6064268350601196,0.0,0.036406824709927926,1.2726862896883517e-09,0.01622387208044529,10.8622,96.021,3.038,1.0
0.49232038855552673,0.44272026615077253,0.05316409437219796,1.407897798344493e-09,0.01787436194717884,10.7969,96.602,3.056,2.0
0.5248919129371643,0.44581075604527515,0.11216342569197582,1.025910023599863e-09,0.017198558896780014,10.8389,96.227,3.045,3.0
0.5487613677978516,0.4614890222842552,0.11639476633940538,1.3357445149964065e-09,0.021154582500457764,10.842,96.2,3.044,4.0
0.5064782500267029,0.4939866392816274,0.09920370155875771,1.82626536116004e-09,0.022064561024308205,10.8081,96.502,3.053,5.0
0.4742302894592285,0.5053968650343078,0.08691698975668202,2.3113291280907333e-09,0.023212021216750145,10.8428,96.193,3.043,6.0
0.5429049730300903,0.5427883381607795,0.10321314125710232,1.7995868129005999e-09,0.01757391169667244,10.8189,96.405,3.05,7.0
0.4559147357940674,0.5429943706677067,0.0737576791561233,2.0954757928848267e-09,0.019374607130885124,10.8451,96.173,3.043,8.0
0.5446165204048157,0.5395109128667314,0.1146049156627856,1.8868984152931034e-09,0.018401507288217545,10.8385,96.231,3.045,9.0
0.48447155952453613,0.5261360919387726,0.09911767714089882,1.9575356891010642e-09,0.01810390315949917,10.8016,96.56,3.055,10.0
0.4593881070613861,0.54781790671712,0.08534408410009234,1.970571927856213e-09,0.017136691138148308,10.8242,96.358,3.049,11.0
0.5175279378890991,0.5262420102371838,0.1165197393923912,1.379400260681507e-09,0.015710733830928802,10.8684,95.966,3.036,12.0
0.49844756722450256,0.5342661861783563,0.1045637340467934,1.5770638128742576e-09,0.014528651721775532,10.8024,96.552,3.055,13.0
0.47669169306755066,0.5845760203069087,0.09920299041762676,1.5885840420892805e-09,0.015521998517215252,10.8401,96.217,3.044,14.0
0.6144704222679138,0.5073548497499728,0.1433866329755445,1.561905604852143e-09,0.01526813954114914,10.8316,96.292,3.047,15.0
0.5293357968330383,0.5393878269002617,0.12007472310518828,1.202958288537559e-09,0.014596797525882721,10.8244,96.356,3.049,16.0
0.5024260878562927,0.57368884664922,0.11431352838459544,1.907513480503553e-09,0.014606478624045849,10.8305,96.302,3.047,17.0
0.535385012626648,0.5341430411919947,0.12421056733949756,1.7559310672154993e-09,0.01528665516525507,10.8604,96.037,3.039,18.0
0.5481330752372742,0.5207564470857148,0.13108230408634688,1.4721687202623457e-09,0.01475505530834198,10.8232,96.367,3.049,19.0
0.5461814999580383,0.536662198889055,0.13042708971356387,1.4673181558677584e-09,0.014698185957968235,10.8135,96.454,3.052,20.0
